"Azure Monitor Documentation","Azure Monitor Documentation","","Azure Monitor Documentation","index.yml","","index.yml"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Add continuous monitoring","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\","Add continuous monitoring","app/continuous-monitoring.md","app/","continuous-monitoring.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Overview","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Overview","app/profiler-overview.md ","app/","app/profiler-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Enable Profiler for an App Service","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Enable Profiler for an App Service","app/profiler.md","app/","profiler.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Enable the Profiler for a Cloud Service","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Enable the Profiler for a Cloud Service","app/profiler-cloudservice.md ","app/","app/profiler-cloudservice.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Enable Profiler for a Service Fabric Application","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Enable Profiler for a Service Fabric Application","app/profiler-servicefabric.md ","app/","app/profiler-servicefabric.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Enable Profiler for an Azure VM","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Enable Profiler for an Azure VM","app/profiler-vm.md","app/","profiler-vm.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Profiler for Linux App services (preview)","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Profiler for Linux App services (preview)","app/profiler-aspnetcore-linux.md","app/","profiler-aspnetcore-linux.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Profiler Settings","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Profiler Settings","app/profiler-settings.md ","app/","app/profiler-settings.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Track Requests for Profiling","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Track Requests for Profiling","app/profiler-trackrequests.md ","app/","app/profiler-trackrequests.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\Profiler Troubleshooting","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Profiler\","Profiler Troubleshooting","app/profiler-troubleshooting.md ","app/","app/profiler-troubleshooting.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\Overview","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\","Overview","app/snapshot-debugger.md ","app/","app/snapshot-debugger.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\Enable Snapshot Debugger for an App Service","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\","Enable Snapshot Debugger for an App Service","app/snapshot-debugger-appservice.md","app/","snapshot-debugger-appservice.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\Enable Snapshot Debugger for other environments","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\","Enable Snapshot Debugger for other environments","app/snapshot-debugger-vm.md","app/","snapshot-debugger-vm.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\Upgrade Snapshot Debugger","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\","Upgrade Snapshot Debugger","app/snapshot-debugger-upgrade.md","app/","snapshot-debugger-upgrade.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\Snapshot Debugger troubleshooting","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Snapshot Debugger\","Snapshot Debugger troubleshooting","app/snapshot-debugger-troubleshoot.md","app/","snapshot-debugger-troubleshoot.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Diagnostics","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\","Diagnostics","../application-insights/app-insights-azure-diagnostics.md","../application-insights/","app-insights-azure-diagnostics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET Core","How-to guides\Monitor resources\Monitor applications\Configure applications\","ASP.NET Core","app/asp-net-core.md","app/","asp-net-core.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET Core\ILogger","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET Core\","ILogger","app/ilogger.md","app/","ilogger.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Web apps","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Web apps","app/asp-net.md","app/","asp-net.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Status Monitor","app/monitor-performance-live-website-now.md","app/","monitor-performance-live-website-now.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\Overview","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","Overview","app/status-monitor-v2-overview.md","app/","status-monitor-v2-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\Getting started","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","Getting started","app/status-monitor-v2-get-started.md","app/","status-monitor-v2-get-started.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\Detailed instructions","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","Detailed instructions","app/status-monitor-v2-detailed-instructions.md","app/","status-monitor-v2-detailed-instructions.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\Troubleshooting and known issues","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","Troubleshooting and known issues","app/status-monitor-v2-troubleshoot.md","app/","status-monitor-v2-troubleshoot.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\API Disable-InstrumentationEngine","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","API Disable-InstrumentationEngine","app/status-monitor-v2-api-disable-instrumentation-engine.md","app/","status-monitor-v2-api-disable-instrumentation-engine.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\API Disable-ApplicationInsightsMonitoring","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","API Disable-ApplicationInsightsMonitoring","app/status-monitor-v2-api-disable-monitoring.md","app/","status-monitor-v2-api-disable-monitoring.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\API Enable-InstrumentationEngine","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","API Enable-InstrumentationEngine","app/status-monitor-v2-api-enable-instrumentation-engine.md","app/","status-monitor-v2-api-enable-instrumentation-engine.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\API Enable-ApplicationInsightsMonitoring","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","API Enable-ApplicationInsightsMonitoring","app/status-monitor-v2-api-enable-monitoring.md","app/","status-monitor-v2-api-enable-monitoring.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\API Get-ApplicationInsightsMonitoringConfig","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","API Get-ApplicationInsightsMonitoringConfig","app/status-monitor-v2-api-get-config.md","app/","status-monitor-v2-api-get-config.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\API Get-ApplicationInsightsMonitoringStatus","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","API Get-ApplicationInsightsMonitoringStatus","app/status-monitor-v2-api-get-status.md","app/","status-monitor-v2-api-get-status.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\API Set-ApplicationInsightsMonitoringConfig","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Status Monitor v2\","API Set-ApplicationInsightsMonitoringConfig","app/status-monitor-v2-api-set-config.md","app/","status-monitor-v2-api-set-config.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Windows desktop","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Windows desktop","app/windows-desktop.md        ","app/","app/windows-desktop.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Console","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Console","app/console.md","app/","console.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Application dashboard","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Application dashboard","app/overview-dashboard.md","app/","overview-dashboard.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Collect more telemetry","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Collect more telemetry","app/asp-net-more.md","app/","asp-net-more.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Exceptions","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Exceptions","app/asp-net-exceptions.md","app/","asp-net-exceptions.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Log traces","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Log traces","app/asp-net-trace-logs.md        ","app/","app/asp-net-trace-logs.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Performance counters","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Performance counters","app/performance-counters.md","app/","performance-counters.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Dependencies","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Dependencies","app/asp-net-dependencies.md","app/","asp-net-dependencies.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Release annotations","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Release annotations","app/annotations.md","app/","annotations.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\ApplicationInsights.config","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","ApplicationInsights.config","app/configuration-with-applicationinsights-config.md","app/","configuration-with-applicationinsights-config.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\Snapshot Debugger","How-to guides\Monitor resources\Monitor applications\Configure applications\ASP.NET apps\","Snapshot Debugger","app/snapshot-debugger.md","app/","snapshot-debugger.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Web apps","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Web apps","app/java-get-started.md        ","app/","app/java-get-started.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Docker apps","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Docker apps","app/docker.md","app/","docker.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Log traces","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Log traces","app/java-trace-logs.md","app/","java-trace-logs.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Unix metrics","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Unix metrics","app/java-collectd.md","app/","java-collectd.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Dependencies","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Dependencies","app/java-agent.md","app/","java-agent.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Filter telemetry","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Filter telemetry","app/java-filter-telemetry.md","app/","java-filter-telemetry.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Micrometer Metrics","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Micrometer Metrics","app/micrometer-java.md","app/","micrometer-java.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\Configure a Spring Boot Initializer app","How-to guides\Monitor resources\Monitor applications\Configure applications\Java apps\","Configure a Spring Boot Initializer app","/java/azure/spring-framework/configure-spring-boot-java-applicationinsights","app/","/java/azure/spring-framework/configure-spring-boot-java-applicationinsights"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Node.js apps\Node.js","How-to guides\Monitor resources\Monitor applications\Configure applications\Node.js apps\","Node.js","app/nodejs.md","app/","nodejs.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Web pages\JavaScript","How-to guides\Monitor resources\Monitor applications\Configure applications\Web pages\","JavaScript","app/javascript.md","app/","javascript.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Monitor Azure Functions","How-to guides\Monitor resources\Monitor applications\Configure applications\","Monitor Azure Functions","../azure-functions/functions-monitoring.md","../azure-functions/","functions-monitoring.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Distributed tracing\Local forwarder","How-to guides\Monitor resources\Monitor applications\Configure applications\Distributed tracing\","Local forwarder","app/opencensus-local-forwarder.md","app/","opencensus-local-forwarder.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Distributed tracing\Python","How-to guides\Monitor resources\Monitor applications\Configure applications\Distributed tracing\","Python","app/opencensus-python.md","app/","opencensus-python.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Distributed tracing\Go","How-to guides\Monitor resources\Monitor applications\Configure applications\Distributed tracing\","Go","app/opencensus-go.md","app/","opencensus-go.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Other platforms\SharePoint sites","How-to guides\Monitor resources\Monitor applications\Configure applications\Other platforms\","SharePoint sites","app/sharepoint.md","app/","sharepoint.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Other platforms\Dynamics CRM","How-to guides\Monitor resources\Monitor applications\Configure applications\Other platforms\","Dynamics CRM","app/sample-mscrm.md","app/","sample-mscrm.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection","How-to guides\Monitor resources\Monitor applications\Configure applications\","Smart Detection","app/proactive-diagnostics.md","app/","proactive-diagnostics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Failure anomalies","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Failure anomalies","app/proactive-failure-diagnostics.md","app/","proactive-failure-diagnostics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Performance anomalies","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Performance anomalies","app/proactive-performance-diagnostics.md","app/","proactive-performance-diagnostics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Trace degradation","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Trace degradation","app/proactive-trace-severity.md","app/","proactive-trace-severity.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Exception volume","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Exception volume","app/proactive-exception-volume.md","app/","proactive-exception-volume.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Memory leak","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Memory leak","app/proactive-potential-memory-leak.md","app/","proactive-potential-memory-leak.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Resource utilization","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Resource utilization","app/proactive-low-utilization-cloud-resources.md","app/","proactive-low-utilization-cloud-resources.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Security detection","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Security detection","app/proactive-application-security-detection-pack.md","app/","proactive-application-security-detection-pack.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Azure Cloud Services","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Azure Cloud Services","app/proactive-cloud-services.md","app/","proactive-cloud-services.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\Manage smart detection rules","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","Manage smart detection rules","app/proactive-arm-config.md","app/","proactive-arm-config.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\E-mail notification","How-to guides\Monitor resources\Monitor applications\Configure applications\Smart Detection\","E-mail notification","app/proactive-email-notification.md","app/","proactive-email-notification.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Create a resource","How-to guides\Monitor resources\Monitor applications\Configure applications\","Create a resource","app/create-new-resource.md ","app/","app/create-new-resource.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Application data to Log Analytics","How-to guides\Monitor resources\Monitor applications\Configure applications\","Application data to Log Analytics","platform/app-insights-connector.md","platform/","app-insights-connector.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Continuous export","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\","Continuous export","app/export-telemetry.md","app/","export-telemetry.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Continuous export\Code samples\Export to SQL using Stream Analytics","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Continuous export\Code samples\","Export to SQL using Stream Analytics","app/code-sample-export-sql-stream-analytics.md","app/","code-sample-export-sql-stream-analytics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Continuous export\Code samples\Export to Stream Analytics","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Continuous export\Code samples\","Export to Stream Analytics","app/export-stream-analytics.md","app/","export-stream-analytics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Export data model","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\","Export data model","app/export-data-model.md","app/","export-data-model.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\No data for .NET","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\","No data for .NET","app/asp-net-troubleshoot-no-data.md","app/","asp-net-troubleshoot-no-data.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\Snapshot debugger","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\","Snapshot debugger","../application-insights/app-insights-troubleshoot-snapshot-debugger.md","../application-insights/","app-insights-troubleshoot-snapshot-debugger.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\Java","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\","Java","app/java-troubleshoot.md","app/","java-troubleshoot.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\Usage analytics","How-to guides\Monitor resources\Monitor applications\Configure applications\Export application data\Troubleshoot\","Usage analytics","app/usage-troubleshoot.md","app/","usage-troubleshoot.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights portal\Search","How-to guides\Monitor resources\Monitor applications\Application Insights portal\","Search","app/diagnostic-search.md","app/","diagnostic-search.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights portal\Metrics","How-to guides\Monitor resources\Monitor applications\Application Insights portal\","Metrics","app/metrics-explorer.md","app/","metrics-explorer.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights portal\Live stream","How-to guides\Monitor resources\Monitor applications\Application Insights portal\","Live stream","app/live-stream.md","app/","live-stream.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights portal\Application Map","How-to guides\Monitor resources\Monitor applications\Application Insights portal\","Application Map","app/app-map.md","app/","app-map.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights portal\Transaction diagnostics","How-to guides\Monitor resources\Monitor applications\Application Insights portal\","Transaction diagnostics","app/transaction-diagnostics.md","app/","transaction-diagnostics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights portal\HockeyApp data","How-to guides\Monitor resources\Monitor applications\Application Insights portal\","HockeyApp data","app/hockeyapp-bridge-app.md","app/","hockeyapp-bridge-app.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Visual Studio\F5 insights","How-to guides\Monitor resources\Monitor applications\Visual Studio\","F5 insights","app/visual-studio.md","app/","visual-studio.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Visual Studio\Trends","How-to guides\Monitor resources\Monitor applications\Visual Studio\","Trends","app/visual-studio-trends.md","app/","visual-studio-trends.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Visual Studio\CodeLens","How-to guides\Monitor resources\Monitor applications\Visual Studio\","CodeLens","app/visual-studio-codelens.md","app/","visual-studio-codelens.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Overview","How-to guides\Monitor resources\Monitor applications\Usage\","Overview","app/usage-overview.md","app/","usage-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Send user context","How-to guides\Monitor resources\Monitor applications\Usage\","Send user context","app/usage-send-user-context.md","app/","usage-send-user-context.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Users, Sessions, Events","How-to guides\Monitor resources\Monitor applications\Usage\","Users, Sessions, Events","app/usage-segmentation.md","app/","usage-segmentation.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Funnels","How-to guides\Monitor resources\Monitor applications\Usage\","Funnels","app/usage-funnels.md","app/","usage-funnels.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Cohorts","How-to guides\Monitor resources\Monitor applications\Usage\","Cohorts","app/usage-cohorts.md","app/","usage-cohorts.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Impact","How-to guides\Monitor resources\Monitor applications\Usage\","Impact","app/usage-impact.md","app/","usage-impact.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Retention","How-to guides\Monitor resources\Monitor applications\Usage\","Retention","app/usage-retention.md","app/","usage-retention.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\User Flows","How-to guides\Monitor resources\Monitor applications\Usage\","User Flows","app/usage-flows.md","app/","usage-flows.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Usage\Workbooks","How-to guides\Monitor resources\Monitor applications\Usage\","Workbooks","app/usage-workbooks.md","app/","usage-workbooks.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Web App Analytics solution","How-to guides\Monitor resources\Monitor applications\","Web App Analytics solution","insights/azure-web-apps-analytics.md","insights/","azure-web-apps-analytics.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Monitor Kubernetes applications","How-to guides\Monitor resources\Monitor applications\","Monitor Kubernetes applications","app/kubernetes.md","app/","kubernetes.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Overview","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Overview","insights/container-insights-overview.md","insights/","container-insights-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\FAQ","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","FAQ","insights/container-insights-faq.md","insights/","container-insights-faq.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Enable monitoring\Enable monitoring overview","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Enable monitoring\","Enable monitoring overview","insights/container-insights-onboard.md","insights/","container-insights-onboard.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Enable monitoring\Enable for new cluster","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Enable monitoring\","Enable for new cluster","insights/container-insights-enable-new-cluster.md","insights/","container-insights-enable-new-cluster.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Enable monitoring\Enable for existing cluster","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Enable monitoring\","Enable for existing cluster","insights/container-insights-enable-existing-clusters.md","insights/","container-insights-enable-existing-clusters.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Analyze","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Analyze","insights/container-insights-analyze.md","insights/","container-insights-analyze.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Disable monitoring","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Disable monitoring","insights/container-insights-optout.md","insights/","container-insights-optout.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\View live logs","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","View live logs","insights/container-insights-live-logs.md","insights/","container-insights-live-logs.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Analyze data with log queries","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Analyze data with log queries","insights/container-insights-log-search.md","insights/","container-insights-log-search.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Alerting","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Alerting","insights/container-insights-alerts.md","insights/","container-insights-alerts.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Agent management","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Agent management","insights/container-insights-manage-agent.md","insights/","container-insights-manage-agent.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Update to enable metrics","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Update to enable metrics","insights/container-insights-update-metrics.md","insights/","container-insights-update-metrics.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\Troubleshooting","How-to guides\Monitor resources\Monitor containers\Azure Monitor for containers\","Troubleshooting","insights/container-insights-troubleshoot.md","insights/","container-insights-troubleshoot.md"
"How-to guides","How-to guides\Monitor resources\Monitor containers\Docker and Windows Container monitoring","How-to guides\Monitor resources\Monitor containers\","Docker and Windows Container monitoring","insights/containers.md","insights/","containers.md"
